Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link
LTB4R2	Leukotriene B4 Receptor 2	Protein Coding	Q9NPC1	54	GC14P057575	2.396412373	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTB4R2
SLC2A2	Solute Carrier Family 2 Member 2	Protein Coding	P11168	63	GC03M171024	2.387248039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A2
CPT2	Carnitine Palmitoyltransferase 2	Protein Coding	P23786	62	GC01P053196	2.387248039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT2
FZD6	Frizzled Class Receptor 6	Protein Coding	O60353	57	GC08P103298	2.387248039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD6
RELN	Reelin	Protein Coding	P78509	57	GC07M103471	2.387248039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELN
KCNE2	Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 2	Protein Coding	Q9Y6J6	55	GC21P034316	2.387248039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNE2
PRKAG3	Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 3	Protein Coding	Q9UGI9	53	GC02M218823	2.387248039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAG3
XPO5	Exportin 5	Protein Coding	Q9HAV4	52	GC06M043522	2.387248039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPO5
RUNX1-AS1	RUNX1 Antisense RNA 1	RNA Gene		17	GC21P034854	2.387248039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX1-AS1
LOC129930561	ATAC-STARR-Seq Lymphoblastoid Silent Region 902	Functional Element		9	GC01P082699	2.387248039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC129930561
KCNH7	Potassium Voltage-Gated Channel Subfamily H Member 7	Protein Coding	Q9NS40	54	GC02M162371	2.385214329	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH7
KRT18	Keratin 18	Protein Coding	P05783	62	GC12P052948	2.371784925	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT18
HCP5	HLA Complex P5	RNA Gene	Q6MZN7	37	GC06P031400	2.37057066	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCP5
RPL3P2	Ribosomal Protein L3 Pseudogene 2	Pseudogene		11	GC06P031280	2.36864996	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL3P2
CYP1A1	Cytochrome P450 Family 1 Subfamily A Member 1	Protein Coding	P04798	60	GC15M074719	2.361356735	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A1
KIR2DS5	"Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Short Cytoplasmic Tail 5"	Protein Coding	Q14953	30	GC19MR00030	2.360613585	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DS5
RAD50	RAD50 Double Strand Break Repair Protein	Protein Coding	Q92878	62	GC05P132556	2.356304169	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50
ANXA6	Annexin A6	Protein Coding	P08133	55	GC05M151100	2.353166819	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA6
MIR125B2	MicroRNA 125b-2	RNA Gene		29	GC21P016590	2.352278471	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B2
MIR221	MicroRNA 221	RNA Gene		29	GC0XM045746	2.352278471	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221
REL-DT	REL Divergent Transcript	RNA Gene		20	GC02M060822	2.346152782	https://www.genecards.org/cgi-bin/carddisp.pl?gene=REL-DT
RXRA	Retinoid X Receptor Alpha	Protein Coding	P19793	61	GC09P134317	2.342196703	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA
ARG1	Arginase 1	Protein Coding	P05089	62	GC06P183096	2.331264734	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARG1
ANGPT1	Angiopoietin 1	Protein Coding	Q15389	60	GC08M107246	2.324931145	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT1
IL12RB1	Interleukin 12 Receptor Subunit Beta 1	Protein Coding	P42701	58	GC19M018058	2.324931145	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12RB1
SERPINA12	Serpin Family A Member 12	Protein Coding	Q8IW75	51	GC14M094487	2.324931145	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA12
PCNA	Proliferating Cell Nuclear Antigen	Protein Coding	P12004	63	GC20M005114	2.29988265	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA
DEFB1	Defensin Beta 1	Protein Coding	P60022	51	GC08M006870	2.296309948	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB1
IL22RA2	Interleukin 22 Receptor Subunit Alpha 2	Protein Coding	Q969J5	50	GC06M137143	2.287987947	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL22RA2
KIR2DS3	"Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Short Cytoplasmic Tail 3"	Protein Coding	Q14952	28	GC19ME00037	2.287987947	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DS3
ICAM3	Intercellular Adhesion Molecule 3	Protein Coding	P32942	54	GC19M108113	2.284862041	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM3
PTH	Parathyroid Hormone	Protein Coding	P01270	58	GC11M013492	2.278202057	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH
IGFBP3	Insulin Like Growth Factor Binding Protein 3	Protein Coding	P17936	59	GC07M045912	2.272640705	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP3
TSC1	TSC Complex Subunit 1	Protein Coding	Q92574	61	GC09M132891	2.271773577	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1
CAST	Calpastatin	Protein Coding	P20810	60	GC05P095975	2.271773577	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAST
NHERF1	NHERF Family PDZ Scaffold Protein 1	Protein Coding	O14745	57	GC17P155557	2.266217947	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NHERF1
CCL3	C-C Motif Chemokine Ligand 3	Protein Coding	P10147	54	GC17M036088	2.264910221	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3
HLA-E	"Major Histocompatibility Complex, Class I, E"	Protein Coding	P13747	53	GC06P181868	2.262381077	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-E
HLA-G	"Major Histocompatibility Complex, Class I, G"	Protein Coding	P17693	57	GC06P181845	2.25629735	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-G
KLRC1	Killer Cell Lectin Like Receptor C1	Protein Coding	P26715	54	GC12M035801	2.255737305	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRC1
KPRP	Keratinocyte Proline Rich Protein	Protein Coding	Q5T749	44	GC01P176618	2.254915476	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPRP
PGF	Placental Growth Factor	Protein Coding	P49763	56	GC14M074941	2.251099586	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGF
HRH4	Histamine Receptor H4	Protein Coding	Q9H3N8	56	GC18P024460	2.248493433	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH4
VIM	Vimentin	Protein Coding	P08670	64	GC10P017227	2.247728109	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM
CRMA	Cardiomyocyte Maturation Associated LncRNA	RNA Gene		22	GC20M062909	2.242485523	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRMA
CDKN2B-AS1	CDKN2B And CDKN2A Antisense Cis And Trans Regulatory RNA 1	RNA Gene		32	GC09P021994	2.240493298	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1
CHI3L1	Chitinase 3 Like 1	Protein Coding	P36222	59	GC01M203148	2.240061045	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHI3L1
CD6	CD6 Molecule	Protein Coding	P30203	54	GC11P060971	2.22481966	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD6
PTGS1	Prostaglandin-Endoperoxide Synthase 1	Protein Coding	P23219	60	GC09P122370	2.223702908	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1
FST	Follistatin	Protein Coding	P19883	61	GC05P053480	2.220087767	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FST
MCOLN1	Mucolipin TRP Cation Channel 1	Protein Coding	Q9GZU1	56	GC19P151636	2.220087767	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCOLN1
RPL19	Ribosomal Protein L19	Protein Coding	P84098	54	GC17P039200	2.220087767	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL19
GTF3C1	General Transcription Factor IIIC Subunit 1	Protein Coding	Q12789	47	GC16M050765	2.220087767	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF3C1
MRAP	Melanocortin 2 Receptor Accessory Protein	Protein Coding	Q8TCY5	47	GC21P032291	2.220087767	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRAP
GTF3C4	General Transcription Factor IIIC Subunit 4	Protein Coding	Q9UKN8	46	GC09P153107	2.220087767	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF3C4
GTF3C2	General Transcription Factor IIIC Subunit 2	Protein Coding	Q8WUA4	45	GC02M027325	2.220087767	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF3C2
PTTG1	"PTTG1 Regulator Of Sister Chromatid Separation, Securin"	Protein Coding	O95997	54	GC05P160930	2.217747688	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTTG1
RXRB	Retinoid X Receptor Beta	Protein Coding	P28702	58	GC06M033193	2.217098951	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRB
TJP1	Tight Junction Protein 1	Protein Coding	Q07157	58	GC15M029699	2.197025061	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJP1
CSF3	Colony Stimulating Factor 3	Protein Coding	P09919	55	GC17P040015	2.197025061	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3
BDNF-AS	BDNF Antisense RNA	RNA Gene		31	GC11P027466	2.197025061	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS
IFN1@	"Interferon, Type 1, Cluster"	Gene Cluster		8	GC09U990039	2.197025061	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFN1@
OVOL1	Ovo Like Transcriptional Repressor 1	Protein Coding	O14753	45	GC11P065787	2.192023039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=OVOL1
FABP12	Fatty Acid Binding Protein 12	Protein Coding	A6NFH5	44	GC08M081524	2.189605236	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP12
LCE3E	Late Cornified Envelope 3E	Protein Coding	Q5T5B0	35	GC01M152565	2.187251806	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCE3E
FASLG	Fas Ligand	Protein Coding	P48023	61	GC01P172659	2.186411619	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG
DEFB103B	Defensin Beta 103B	Protein Coding	P81534	37	GC08M007430	2.185164452	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB103B
C4B	Complement C4B (Chido/Rodgers Blood Group)	Protein Coding	P0C0L5	57	GC06P032014	2.180413008	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4B
BTNL2	Butyrophilin Like 2	Protein Coding	Q9UIR0	52	GC06M032393	2.180413008	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTNL2
VEGFC	Vascular Endothelial Growth Factor C	Protein Coding	P49767	60	GC04M176683	2.176712751	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFC
APOBEC3B	Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3B	Protein Coding	Q9UH17	50	GC22P038982	2.17398572	https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3B
CAV1	Caveolin 1	Protein Coding	Q03135	61	GC07P116524	2.169677734	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1
MIR26A1	MicroRNA 26a-1	RNA Gene		30	GC03P037969	2.16057086	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR26A1
S100A2	S100 Calcium Binding Protein A2	Protein Coding	P29034	54	GC01M153561	2.160337448	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A2
MEFV	"MEFV Innate Immunity Regulator, Pyrin"	Protein Coding	O15553	57	GC16M049968	2.15583992	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEFV
CRH	Corticotropin Releasing Hormone	Protein Coding	P06850	56	GC08M066176	2.155537367	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRH
MIR423	MicroRNA 423	RNA Gene		27	GC17P030117	2.155537367	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR423
LEPQTL1	"Leptin, Serum Levels Of"	Genetic Locus		10	GC02U903086	2.149423122	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPQTL1
MIRLET7D	MicroRNA Let-7d	RNA Gene		31	GC09P094178	2.149381638	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7D
MYC	"MYC Proto-Oncogene, BHLH Transcription Factor"	Protein Coding	P01106	65	GC08P127735	2.145278931	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC
ZNF816	Zinc Finger Protein 816	Protein Coding	Q0VGE8	35	GC19M052949	2.138409615	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF816
LEPR	Leptin Receptor	Protein Coding	P48357	62	GC01P078814	2.136439562	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR
CDH1	Cadherin 1	Protein Coding	P12830	62	GC16P068737	2.127541065	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1
SIRT1	Sirtuin 1	Protein Coding	Q96EB6	62	GC10P067884	2.124864817	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1
MIR424	MicroRNA 424	RNA Gene		27	GC0XM135398	2.123193502	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR424
ALOX5AP	Arachidonate 5-Lipoxygenase Activating Protein	Protein Coding	P20292	56	GC13P030713	2.122206688	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5AP
IGFL1	IGF Like Family Member 1	Protein Coding	Q6UW32	33	GC19P046229	2.114712238	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFL1
MIR140	MicroRNA 140	RNA Gene		32	GC16P122015	2.114315987	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR140
PTPN2	Protein Tyrosine Phosphatase Non-Receptor Type 2	Protein Coding	P17706	59	GC18M038212	2.113747597	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN2
SEMA3A	Semaphorin 3A	Protein Coding	Q14563	58	GC07M083955	2.110321283	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3A
TEAD4	TEA Domain Transcription Factor 4	Protein Coding	Q15561	50	GC12P002959	2.109668493	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEAD4
CARINH	Colitis Associated IRF1 Antisense Regulator Of Intestinal Homeostasis	RNA Gene		23	GC05P132646	2.108091116	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARINH
FAS	Fas Cell Surface Death Receptor	Protein Coding	P25445	64	GC10P124091	2.105527163	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS
HRNR	Hornerin	Protein Coding	Q86YZ3	47	GC01M152212	2.104712009	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRNR
SLC19A1	Solute Carrier Family 19 Member 1	Protein Coding	P41440	60	GC21M045493	2.095290661	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC19A1
FOSL1	"FOS Like 1, AP-1 Transcription Factor Subunit"	Protein Coding	P15407	57	GC11M139805	2.09523201	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOSL1
TRIM13	Tripartite Motif Containing 13	Protein Coding	O60858	46	GC13P049995	2.093570232	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM13
ABCG2	ATP Binding Cassette Subfamily G Member 2 (JR Blood Group)	Protein Coding	Q9UNQ0	62	GC04M088090	2.079148769	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2
FABP5P2	Fatty Acid Binding Protein 5 Pseudogene 2	Pseudogene		9	GC13P052638	2.077641726	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP5P2
FABP5P12	Fatty Acid Binding Protein 5 Pseudogene 12	Pseudogene		7	GC04P159026	2.077641726	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP5P12
LNPEP	Leucyl And Cystinyl Aminopeptidase	Protein Coding	Q9UIQ6	58	GC05P096935	2.077555418	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LNPEP
ALOX15B	Arachidonate 15-Lipoxygenase Type B	Protein Coding	O15296	53	GC17P008039	2.077555418	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX15B
PTGS2	Prostaglandin-Endoperoxide Synthase 2	Protein Coding	P35354	62	GC01M186671	2.076438665	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2
MX1	MX Dynamin Like GTPase 1	Protein Coding	P20591	52	GC21P041420	2.063848019	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MX1
KRT19	Keratin 19	Protein Coding	P08727	57	GC17M041523	2.06249404	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT19
AOC3	Amine Oxidase Copper Containing 3	Protein Coding	Q16853	58	GC17P042851	2.056267262	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC3
BTN3A1	Butyrophilin Subfamily 3 Member A1	Protein Coding	O00481	51	GC06P026402	2.055058479	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTN3A1
CDKN1A	Cyclin Dependent Kinase Inhibitor 1A	Protein Coding	P38936	63	GC06P182020	2.053941727	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A
ALB	Albumin	Protein Coding	P02768	61	GC04P073397	2.053941727	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB
CCN1	Cellular Communication Network Factor 1	Protein Coding	O00622	52	GC01P085585	2.052376986	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN1
IL2RB	Interleukin 2 Receptor Subunit Beta	Protein Coding	P14784	62	GC22M086125	2.052293301	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB
APOB	Apolipoprotein B	Protein Coding	P04114	59	GC02M020956	2.046784878	https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB
GRN	Granulin Precursor	Protein Coding	P28799	61	GC17P044345	2.037132978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRN
F2RL1	F2R Like Trypsin Receptor 1	Protein Coding	P55085	56	GC05P076818	2.034351587	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2RL1
ACKR2	Atypical Chemokine Receptor 2	Protein Coding	O00590	52	GC03P042804	2.034351587	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR2
KIR2DL5A	"Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 5A"	Protein Coding	Q8N109	31	GC19MR00046	2.031095982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DL5A
GPT	Glutamic--Pyruvic Transaminase	Protein Coding	P24298	55	GC08P144502	2.029988766	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT
TYMS	Thymidylate Synthetase	Protein Coding	P04818	62	GC18P000657	2.021459103	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMS
LGALS3	Galectin 3	Protein Coding	P17931	57	GC14P055124	2.021459103	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS3
CXCR2	C-X-C Motif Chemokine Receptor 2	Protein Coding	P25025	63	GC02P218125	2.020241976	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR2
CD274	CD274 Molecule	Protein Coding	Q9NZQ7	58	GC09P005450	2.019125223	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274
CD44	CD44 Molecule (IN Blood Group)	Protein Coding	P16070	61	GC11P035139	2.016443968	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44
HSP90AA1	Heat Shock Protein 90 Alpha Family Class A Member 1	Protein Coding	P07900	64	GC14M102080	2.008880615	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1
MIR193B	MicroRNA 193b	RNA Gene		29	GC16P120415	2.008268356	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR193B
FPGS	Folylpolyglutamate Synthase	Protein Coding	Q05932	54	GC09P127794	2.005317211	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FPGS
RUNX3	RUNX Family Transcription Factor 3	Protein Coding	Q13761	55	GC01M024899	1.999613881	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX3
GJA1	Gap Junction Protein Alpha 1	Protein Coding	P17302	64	GC06P182951	1.9895432	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA1
NRP1	Neuropilin 1	Protein Coding	O14786	61	GC10M033177	1.988662601	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP1
GGH	Gamma-Glutamyl Hydrolase	Protein Coding	Q92820	55	GC08M063014	1.988662601	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGH
CYP2S1	Cytochrome P450 Family 2 Subfamily S Member 1	Protein Coding	Q96SQ9	51	GC19P041193	1.988662601	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2S1
PF4	Platelet Factor 4	Protein Coding	P02776	52	GC04M073980	1.976178408	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PF4
MDM2	MDM2 Proto-Oncogene	Protein Coding	Q00987	67	GC12P068808	1.966623545	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2
CD80	CD80 Molecule	Protein Coding	P33681	55	GC03M119524	1.965532064	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD80
MIRLET7C	MicroRNA Let-7c	RNA Gene		31	GC21P021313	1.964799047	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7C
UBE2L3	Ubiquitin Conjugating Enzyme E2 L3	Protein Coding	P68036	58	GC22P021549	1.962162256	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2L3
IL15RA	Interleukin 15 Receptor Subunit Alpha	Protein Coding	Q13261	52	GC10M005943	1.962162256	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15RA
KLF4	KLF Transcription Factor 4	Protein Coding	O43474	60	GC09M107484	1.961729288	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF4
SELPLG	Selectin P Ligand	Protein Coding	Q14242	56	GC12M108621	1.95689714	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELPLG
FTO	FTO Alpha-Ketoglutarate Dependent Dioxygenase	Protein Coding	Q9C0B1	59	GC16P121535	1.946433306	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTO
RPS26	Ribosomal Protein S26	Protein Coding	P62854	54	GC12P075405	1.946433306	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS26
SDC4	Syndecan 4	Protein Coding	P31431	54	GC20M045325	1.946433306	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDC4
PRORP	Protein Only RNase P Catalytic Subunit	Protein Coding	O15091	48	GC14P057760	1.946433306	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRORP
IGF2	Insulin Like Growth Factor 2	Protein Coding	P01344	61	GC11M015123	1.946410537	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2
CCL18	C-C Motif Chemokine Ligand 18	Protein Coding	P55774	49	GC17P036064	1.945293665	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL18
UBLCP1	Ubiquitin Like Domain Containing CTD Phosphatase 1	Protein Coding	Q8WVY7	41	GC05P159263	1.942331076	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBLCP1
CXCL16	C-X-C Motif Chemokine Ligand 16	Protein Coding	Q9H2A7	50	GC17M004733	1.935049057	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL16
DSG1	Desmoglein 1	Protein Coding	Q02413	55	GC18P031318	1.933095813	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSG1
CLU	Clusterin	Protein Coding	P10909	60	GC08M027596	1.925509214	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLU
SPRR1B	Small Proline Rich Protein 1B	Protein Coding	P22528	48	GC01P153031	1.925132275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRR1B
SPRR3	Small Proline Rich Protein 3	Protein Coding	Q9UBC9	47	GC01P153001	1.925132275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRR3
FGFR2	Fibroblast Growth Factor Receptor 2	Protein Coding	P21802	68	GC10M121478	1.917739511	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2
MIR222	MicroRNA 222	RNA Gene		29	GC0XM045747	1.917739511	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222
SERPINF1	Serpin Family F Member 1	Protein Coding	P36955	58	GC17P153476	1.915711641	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINF1
MAPK1	Mitogen-Activated Protein Kinase 1	Protein Coding	P28482	65	GC22M021759	1.911686897	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
ERCC1	"ERCC Excision Repair 1, Endonuclease Non-Catalytic Subunit"	Protein Coding	P07992	59	GC19M108885	1.911299229	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC1
ITGAM	Integrin Subunit Alpha M	Protein Coding	P11215	62	GC16P121092	1.911131501	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM
CD86	CD86 Molecule	Protein Coding	P42081	57	GC03P122055	1.911131501	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD86
NR1H2	Nuclear Receptor Subfamily 1 Group H Member 2	Protein Coding	P55055	59	GC19P050329	1.909964561	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H2
RARRES1	Retinoic Acid Receptor Responder 1	Protein Coding	P49788	53	GC03M158696	1.908999324	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARRES1
MVK	Mevalonate Kinase	Protein Coding	Q03426	60	GC12P109573	1.904610991	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MVK
CST6	Cystatin E/M	Protein Coding	Q15828	53	GC11P107854	1.903025627	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST6
AIRE	Autoimmune Regulator	Protein Coding	O43918	57	GC21P044285	1.898403883	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE
INS	Insulin	Protein Coding	P01308	61	GC11M002159	1.89729166	https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS
PPARD	Peroxisome Proliferator Activated Receptor Delta	Protein Coding	Q03181	59	GC06P182001	1.89498961	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARD
IL3	Interleukin 3	Protein Coding	P08700	57	GC05P132060	1.89498961	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL3
CD83	CD83 Molecule	Protein Coding	Q01151	53	GC06P014117	1.89498961	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD83
JAZF1	JAZF Zinc Finger 1	Protein Coding	Q86VZ6	49	GC07M027830	1.891237736	https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAZF1
HSPB1	Heat Shock Protein Family B (Small) Member 1	Protein Coding	P04792	65	GC07P076302	1.889768243	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB1
S100B	S100 Calcium Binding Protein B	Protein Coding	P04271	58	GC21M054960	1.889768243	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100B
